date,sunset,season,year,week,radar,sunset_timestamp,closest_file
2008-05-17,2008-05-18 05:33:17,spring,2008,20,KRIW,1211088797,KRIW20080518_053139.gz
2008-05-18,2008-05-19 05:34:19,spring,2008,20,KRIW,1211175259,KRIW20080519_053331.gz
2008-05-19,2008-05-20 05:35:20,spring,2008,20,KRIW,1211261720,KRIW20080520_053559.gz
2008-05-20,2008-05-21 05:36:20,spring,2008,21,KRIW,1211348180,KRIW20080521_053650.gz
2008-05-21,2008-05-22 05:37:19,spring,2008,21,KRIW,1211434639,KRIW20080522_053617.gz
2008-05-22,2008-05-23 05:38:17,spring,2008,21,KRIW,1211521097,KRIW20080523_054000.gz
2008-05-23,2008-05-24 05:39:15,spring,2008,21,KRIW,1211607555,KRIW20080524_053945.gz
2008-05-24,2008-05-25 05:40:11,spring,2008,21,KRIW,1211694011,KRIW20080525_053913.gz
2008-05-25,2008-05-26 05:41:06,spring,2008,21,KRIW,1211780466,KRIW20080526_053847.gz
2008-05-26,2008-05-27 05:42:01,spring,2008,21,KRIW,1211866921,KRIW20080527_054329.gz
2008-05-27,2008-05-28 05:42:54,spring,2008,22,KRIW,1211953374,KRIW20080528_054222.gz
2008-05-28,2008-05-29 05:43:46,spring,2008,22,KRIW,1212039826,KRIW20080529_054309.gz
2008-05-29,2008-05-30 05:44:37,spring,2008,22,KRIW,1212126277,KRIW20080530_054539.gz
2008-05-30,2008-05-31 05:45:27,spring,2008,22,KRIW,1212212727,KRIW20080531_054435.gz
2008-05-31,2008-06-01 05:46:15,spring,2008,22,KRIW,1212299175,KRIW20080601_054348.gz
2008-06-01,2008-06-02 05:47:03,spring,2008,22,KRIW,1212385623,KRIW20080602_054717.gz
2008-06-02,2008-06-03 05:47:48,spring,2008,22,KRIW,1212472068,KRIW20080603_054834.gz
2008-06-03,2008-06-04 05:48:33,spring,2008,23,KRIW,1212558513,KRIW20080604_054555.gz
2008-06-04,2008-06-05 05:49:15,spring,2008,23,KRIW,1212644955,KRIW20080605_054740.gz
2008-06-05,2008-06-06 05:49:57,spring,2008,23,KRIW,1212731397,KRIW20080606_054708.gz
2008-06-06,2008-06-07 05:50:36,spring,2008,23,KRIW,1212817836,KRIW20080607_055056.gz
2008-06-07,2008-06-08 05:51:15,spring,2008,23,KRIW,1212904275,KRIW20080608_054839.gz
2008-06-08,2008-06-09 05:51:51,spring,2008,23,KRIW,1212990711,KRIW20080609_055112.gz
2008-06-09,2008-06-10 05:52:26,spring,2008,23,KRIW,1213077146,KRIW20080610_055209.gz
2008-06-10,2008-06-11 05:52:59,spring,2008,24,KRIW,1213163579,KRIW20080611_055407.gz
2008-06-11,2008-06-12 05:53:30,spring,2008,24,KRIW,1213250010,KRIW20080612_055253.gz
2008-06-12,2008-06-13 05:54:00,spring,2008,24,KRIW,1213336440,KRIW20080613_055559.gz
2008-06-13,2008-06-14 05:54:27,spring,2008,24,KRIW,1213422867,KRIW20080614_055433.gz
2008-06-14,2008-06-15 05:54:53,spring,2008,24,KRIW,1213509293,
2008-06-15,2008-06-16 05:55:17,spring,2008,24,KRIW,1213595717,
2009-03-01,2009-03-02 04:03:32,spring,2009,9,KRIW,1235966612,KRIW20090302_040441_V03.gz
2009-03-02,2009-03-03 04:04:47,spring,2009,9,KRIW,1236053087,KRIW20090303_040211_V03.gz
2009-03-03,2009-03-04 04:06:01,spring,2009,9,KRIW,1236139561,KRIW20090304_040815_V03.gz
2009-03-04,2009-03-05 04:07:16,spring,2009,9,KRIW,1236226036,KRIW20090305_041013_V03.gz
2009-03-05,2009-03-06 04:08:30,spring,2009,10,KRIW,1236312510,KRIW20090306_041120_V03.gz
2009-03-06,2009-03-07 04:09:44,spring,2009,10,KRIW,1236398984,KRIW20090307_041014_V03.gz
2009-03-07,2009-03-08 04:10:57,spring,2009,10,KRIW,1236485457,KRIW20090308_040905_V03.gz
2009-03-08,2009-03-09 04:12:10,spring,2009,10,KRIW,1236571930,KRIW20090309_040812_V03.gz
2009-03-09,2009-03-10 04:13:23,spring,2009,10,KRIW,1236658403,KRIW20090310_041533_V03.gz
2009-03-10,2009-03-11 04:14:36,spring,2009,10,KRIW,1236744876,KRIW20090311_041646_V03.gz
2009-03-11,2009-03-12 04:15:49,spring,2009,10,KRIW,1236831349,KRIW20090312_041615_V03.gz
2009-03-12,2009-03-13 04:17:01,spring,2009,11,KRIW,1236917821,KRIW20090313_041533_V03.gz
2009-03-13,2009-03-14 04:18:13,spring,2009,11,KRIW,1237004293,KRIW20090314_041432_V03.gz
2009-03-14,2009-03-15 04:19:25,spring,2009,11,KRIW,1237090765,KRIW20090315_042308_V03.gz
2009-03-15,2009-03-16 04:20:37,spring,2009,11,KRIW,1237177237,KRIW20090316_042150_V03.gz
2009-03-16,2009-03-17 04:21:48,spring,2009,11,KRIW,1237263708,KRIW20090317_042542_V03.gz
2009-03-17,2009-03-18 04:23:00,spring,2009,11,KRIW,1237350180,KRIW20090318_042612_V03.gz
2009-03-18,2009-03-19 04:24:11,spring,2009,11,KRIW,1237436651,KRIW20090319_042401_V03.gz
2009-03-19,2009-03-20 04:25:22,spring,2009,12,KRIW,1237523122,KRIW20090320_042138_V03.gz
2009-03-20,2009-03-21 04:26:33,spring,2009,12,KRIW,1237609593,KRIW20090321_042913_V03.gz
2009-03-21,2009-03-22 04:27:44,spring,2009,12,KRIW,1237696064,KRIW20090322_042614_V03.gz
2009-03-22,2009-03-23 04:28:54,spring,2009,12,KRIW,1237782534,KRIW20090323_043018_V03.gz
2009-03-23,2009-03-24 04:30:05,spring,2009,12,KRIW,1237869005,KRIW20090324_042755_V03.gz
2009-03-24,2009-03-25 04:31:15,spring,2009,12,KRIW,1237955475,KRIW20090325_042648_V03.gz
2009-03-25,2009-03-26 04:32:26,spring,2009,12,KRIW,1238041946,KRIW20090326_043612_V03.gz
2009-03-26,2009-03-27 04:33:36,spring,2009,13,KRIW,1238128416,KRIW20090327_043522_V03.gz
2009-03-27,2009-03-28 04:34:46,spring,2009,13,KRIW,1238214886,KRIW20090328_043206_V03.gz
2009-03-28,2009-03-29 04:35:56,spring,2009,13,KRIW,1238301356,KRIW20090329_044038_V03.gz
2009-03-29,2009-03-30 04:37:06,spring,2009,13,KRIW,1238387826,KRIW20090330_043828_V03.gz
2009-03-30,2009-03-31 04:38:16,spring,2009,13,KRIW,1238474296,KRIW20090331_043959_V03.gz
2009-03-31,2009-04-01 04:39:26,spring,2009,13,KRIW,1238560766,KRIW20090401_043901_V03.gz
2009-04-01,2009-04-02 04:40:36,spring,2009,13,KRIW,1238647236,KRIW20090402_043644_V03.gz
2009-04-02,2009-04-03 04:41:46,spring,2009,14,KRIW,1238733706,KRIW20090403_044447_V03.gz
2009-04-03,2009-04-04 04:42:56,spring,2009,14,KRIW,1238820176,KRIW20090404_044250_V03.gz
2009-04-04,2009-04-05 04:44:05,spring,2009,14,KRIW,1238906645,KRIW20090405_044117_V03.gz
2009-04-05,2009-04-06 04:45:15,spring,2009,14,KRIW,1238993115,KRIW20090406_044927_V03.gz
2009-04-06,2009-04-07 04:46:25,spring,2009,14,KRIW,1239079585,KRIW20090407_044735_V03.gz
2009-04-07,2009-04-08 04:47:35,spring,2009,14,KRIW,1239166055,KRIW20090408_045006_V03.gz
2009-04-08,2009-04-09 04:48:45,spring,2009,14,KRIW,1239252525,KRIW20090409_045018_V03.gz
2009-04-09,2009-04-10 04:49:54,spring,2009,15,KRIW,1239338994,KRIW20090410_045113_V03.gz
2009-04-10,2009-04-11 04:51:04,spring,2009,15,KRIW,1239425464,KRIW20090411_045114_V03.gz
2009-04-11,2009-04-12 04:52:14,spring,2009,15,KRIW,1239511934,KRIW20090412_045139_V03.gz
2009-04-12,2009-04-13 04:53:24,spring,2009,15,KRIW,1239598404,KRIW20090413_045652_V03.gz
2009-04-13,2009-04-14 04:54:33,spring,2009,15,KRIW,1239684873,KRIW20090414_045651_V03.gz
2009-04-14,2009-04-15 04:55:43,spring,2009,15,KRIW,1239771343,KRIW20090415_045625_V03.gz
2009-04-15,2009-04-16 04:56:53,spring,2009,15,KRIW,1239857813,KRIW20090416_045634_V03.gz
2009-04-16,2009-04-17 04:58:03,spring,2009,16,KRIW,1239944283,KRIW20090417_045629_V03.gz
2009-04-17,2009-04-18 04:59:13,spring,2009,16,KRIW,1240030753,KRIW20090418_050138_V03.gz
2009-04-18,2009-04-19 05:00:22,spring,2009,16,KRIW,1240117222,KRIW20090419_045830_V03.gz
2009-04-19,2009-04-20 05:01:32,spring,2009,16,KRIW,1240203692,KRIW20090420_050457_V03.gz
2009-04-20,2009-04-21 05:02:42,spring,2009,16,KRIW,1240290162,KRIW20090421_050100_V03.gz
